nome_tabela;unb;cod_sku;desconto
REG_Chopp (17,7% off);455;828;0.177
PDV_Rio Butiquim;710;828;0.177
PDV_RK;849;828;0.204
REG_Chopp (20,4% off);849;828;0.204
REG_Chopp (21,1% off);710;828;0.211
REG_Chopp (22,4% off);849;828;0.224
REG_Chopp (24,5% off);111;828;0.245
PDV_Ditado Popular;455;828;0.245
PDV_Simpsons;710;828;0.245
PDV_Alpinus;710;828;0.245
REG_Chopp (24,5% off);710;828;0.245
PDV_Ditado Popular;111;828;0.259
REG_Chopp (28,6% off);710;828;0.286
REG_Chopp (31,3% off);455;828;0.313
PDV_Mineirinho;710;828;0.313
PDV_La Bocca;710;828;0.313
PDV_Nau Mangai;710;828;0.313
PDV_DEDE;849;828;0.327
REG_Eldorado;849;828;0.327
PDV_Beirute;710;828;0.327
PDV_Five;710;828;0.361
PDV_Aeroporto;710;828;0.374
PDV_Aeroporto;710;8336;0.1
REG_Chopp (11,6% off);710;838;0.116
PDV_VB;710;838;0.122
REG_Chopp (17,7% off);111;838;0.177
REG_Chopp (17,7% off);455;838;0.177
PDV_American Prime;710;838;0.177
PDV_Rio Butiquim;710;838;0.177
PDV_RK;849;838;0.204
REG_Chopp (20,4% off);849;838;0.204
REG_Chopp (21,1% off);710;838;0.211
REG_Chopp (22,4% off);849;838;0.224
REG_Chopp (24,5% off);111;838;0.245
PDV_Ditado Popular;455;838;0.245
PDV_Simpsons;710;838;0.245
PDV_Alpinus;710;838;0.245
REG_Chopp (24,5% off);710;838;0.245
PDV_Ditado Popular;111;838;0.259
REG_Chopp (28,6% off);710;838;0.286
REG_Chopp (31,3% off);455;838;0.313
PDV_Mineirinho;710;838;0.313
PDV_La Bocca;710;838;0.313
PDV_Nau Mangai;710;838;0.313
PDV_DEDE;849;838;0.327
REG_Eldorado;849;838;0.327
PDV_Beirute;710;838;0.327
PDV_Five;710;838;0.361
PDV_Aeroporto;710;838;0.374
PDV_Libanus;710;838;0.286
PDV_Aeroporto;710;8776;0.354
PDV_Appreciatto;710;9067;0.026
PDV_American Prime;710;9071;0.047
REG_Checkmate;849;982;0.092
REG_Checkmate;849;988;0.071
PDV_Sindicato & Mikas;849;838;0.238
PDV_Sindicato & Mikas;849;2546;0.021
PDV_Sindicato & Mikas;849;828;0.238
PDV_Sindicato & Mikas;849;8153;0.061
PDV_Sindicato & Mikas;849;17757;0.15
PDV_Sindicato & Mikas;849;17808;0.15
PDV_Sindicato & Mikas;849;18807;0.2
Bud Gyn (20% off);542644;2548;0.2
Bud Gyn (20% off);600741;2548;0.2
REG_Chopp (21,1% off);710;24208;0.211
Power Pack - Rede Barão;542644;1493;0.0279690189328744
Power Pack - Rede Barão;542644;13839;0.0551654964894685
Power Pack - Rede Pérola;1716000;17808;0.0982658959537573
Power Pack - Rede Pérola;1716000;20647;0.109149277688604
Power Pack - Rede Pérola;1716000;21632;0.0318772136953955
Power Pack - Rede Pires;1320009;13839;0.117352056168505
Power Pack - Rede Pires;1320009;21632;0.06
Power Pack - Rede Pires;698008;13839;0.117352056168505
Power Pack - Rede Pires;698008;21632;0.06
CT;987280;32361;0.1
CT;987280;22180;0.1
CT;987280;29580;0.1
CT;987280;20217;0.1
CT;987280;17757;0.1
CT;987280;18807;0.1
CT;987280;17808;0.1
CT;987280;13307;0.1
CT;987280;29253;0.1
CT;987280;23269;0.1
CT;987280;23271;0.1
CT;987280;29485;0.1
CT;987280;18836;0.1
CT;987280;27686;0.1
CT;987280;27704;0.1
CT;987280;20531;0.1
CT;987280;20530;0.1
CT;987280;2544;0.1
CT;987280;2546;0.1
CT;987280;2548;0.1
CT;987280;24168;0.1
CT;987280;20537;0.1
CT;987280;20535;0.1
CT;987280;8336;0.1
CT;987280;18780;0.1
CT;987280;14340;0.1
CT;987280;4141;0.1
CT;987280;4143;0.1
CT;987280;4193;0.1
CT;987280;4198;0.1
CT;987280;13196;0.1
CT;987280;13194;0.1
CT;987280;2538;0.1
CT;987280;20533;0.1
CT;987280;620;0.1
CT;987280;371;0.1
CT;987280;21632;0.1
CT;987280;20329;0.1
CT;987280;21668;0.1
CT;987280;1684;0.1
CT;987280;12951;0.1
CT;987280;1695;0.1
CT;987280;10537;0.1
CT;987280;13195;0.1
CT;987280;21275;0.1
CT;987280;23186;0.1
CT;987280;20544;0.1
CT;987280;24479;0.1
CT;987280;279;0.1
CT;987280;3733;0.1
CT;987280;988;0.1
CT;987280;18833;0.1
CT;987280;1743;0.1
CT;987280;18678;0.1
CT;987280;1388;0.1
CT;987280;11425;0.1
CT;987280;13203;0.1
CT;987280;13201;0.1
CT;987280;13205;0.1
CT;987280;16503;0.1
CT;987280;18673;0.1
CT;987280;11518;0.1
CT;987280;982;0.1
CT;987280;18677;0.1
CT;992453;32361;0.1
CT;992453;22180;0.1
CT;992453;29580;0.1
CT;992453;20217;0.1
CT;992453;17757;0.1
CT;992453;18807;0.1
CT;992453;17808;0.1
CT;992453;13307;0.1
CT;992453;29253;0.1
CT;992453;23269;0.1
CT;992453;23271;0.1
CT;992453;29485;0.1
CT;992453;18836;0.1
CT;992453;27686;0.1
CT;992453;27704;0.1
CT;992453;20531;0.1
CT;992453;20530;0.1
CT;992453;2544;0.1
CT;992453;2546;0.1
CT;992453;2548;0.1
CT;992453;24168;0.1
CT;992453;20537;0.1
CT;992453;20535;0.1
CT;992453;8336;0.1
CT;992453;18780;0.1
CT;992453;14340;0.1
CT;992453;4141;0.1
CT;992453;4143;0.1
CT;992453;4193;0.1
CT;992453;4198;0.1
CT;992453;13196;0.1
CT;992453;13194;0.1
CT;992453;2538;0.1
CT;992453;20533;0.1
CT;992453;620;0.1
CT;992453;371;0.1
CT;992453;21632;0.1
CT;992453;20329;0.1
CT;992453;21668;0.1
CT;992453;1684;0.1
CT;992453;12951;0.1
CT;992453;1695;0.1
CT;992453;10537;0.1
CT;992453;13195;0.1
CT;992453;21275;0.1
CT;992453;23186;0.1
CT;992453;20544;0.1
CT;992453;24479;0.1
CT;992453;279;0.1
CT;992453;3733;0.1
CT;992453;988;0.1
CT;992453;18833;0.1
CT;992453;1743;0.1
CT;992453;18678;0.1
CT;992453;1388;0.1
CT;992453;11425;0.1
CT;992453;13203;0.1
CT;992453;13201;0.1
CT;992453;13205;0.1
CT;992453;16503;0.1
CT;992453;18673;0.1
CT;992453;11518;0.1
CT;992453;982;0.1
CT;992453;18677;0.1
Amazonas FC;849;21658;0.1
Amazonas FC;849;26204;0.1
Amazonas FC;849;20498;0.1
Amazonas FC;849;20647;0.1
Amazonas FC;849;21020;0.1
Amazonas FC;849;13839;0.1
Amazonas FC;849;13566;0.1
Amazonas FC;849;21119;0.1
Amazonas FC;849;32349;0.1
Amazonas FC;849;28137;0.1
Bud Gyn (20% off);1716000;2548;0.2
Spaten (20% off);857890;23186;0.25
Spaten (20% off);619132;23186;0.25
Spaten (20% off);1320009;23186;0.25
REG_Chopp (10,9% off);987280;828;0.109
REG_Chopp (10,9% off);987280;838;0.109
REG_Bud & Match;849;23193;0.12
REG_Bud & Match;849;23194;0.12
REG_Bud & Match;849;28137;0.12
REG_Bud & Match;849;32349;0.12
REG_Bud & Match;849;19813;0.12
REG_Bud & Match;849;20174;0.12
REG_Bud & Match;849;21389;0.12
BAKINAS;1716000;279;0.0271
BAKINAS;1716000;371;0.0214
BAKINAS;1716000;620;0.0214
BAKINAS;1716000;827;0.3
BAKINAS;1716000;828;0.3
BAKINAS;1716000;838;0.3
BAKINAS;1716000;860;0.3
BAKINAS;1716000;982;0.0623
BAKINAS;1716000;988;0.0653
BAKINAS;1716000;1388;0.0552
BAKINAS;1716000;1493;0.0351
BAKINAS;1716000;1695;0.0579
BAKINAS;1716000;1699;0.0299
BAKINAS;1716000;1743;0.0579
BAKINAS;1716000;1745;0.0275
BAKINAS;1716000;1898;0.028
BAKINAS;1716000;2006;0.0652
BAKINAS;1716000;2008;0.0363
BAKINAS;1716000;2538;0.0653
BAKINAS;1716000;4141;0.0771
BAKINAS;1716000;4143;0.0771
BAKINAS;1716000;4193;0.0771
BAKINAS;1716000;4198;0.0771
BAKINAS;1716000;4262;0.0266
BAKINAS;1716000;8037;0.3
BAKINAS;1716000;9067;0.0342
BAKINAS;1716000;9068;0.0323
BAKINAS;1716000;9069;0.0342
BAKINAS;1716000;9071;0.026
BAKINAS;1716000;9072;0.0323
BAKINAS;1716000;9081;0.026
BAKINAS;1716000;9083;0.0255
BAKINAS;1716000;9224;0.0163
BAKINAS;1716000;9259;0.0332
BAKINAS;1716000;9320;0.026
BAKINAS;1716000;9427;0.0272
BAKINAS;1716000;9886;0.0346
BAKINAS;1716000;11503;0.0427
BAKINAS;1716000;12948;0.0307
BAKINAS;1716000;12951;0.0249
BAKINAS;1716000;13201;0.069
BAKINAS;1716000;13203;0.069
BAKINAS;1716000;13205;0.069
BAKINAS;1716000;13566;0.0204
BAKINAS;1716000;13839;0.0362
BAKINAS;1716000;14340;0.0292
BAKINAS;1716000;14661;0.3
BAKINAS;1716000;15321;0.3
BAKINAS;1716000;15778;0.0351
BAKINAS;1716000;16503;0.069
BAKINAS;1716000;17268;0.0176
BAKINAS;1716000;17276;0.0176
BAKINAS;1716000;17278;0.0176
BAKINAS;1716000;17757;0.0189
BAKINAS;1716000;17808;0.0217
BAKINAS;1716000;18135;0.0278
BAKINAS;1716000;18490;0.0932
BAKINAS;1716000;18673;0.069
BAKINAS;1716000;18677;0.0623
BAKINAS;1716000;18678;0.0552
BAKINAS;1716000;18682;0.0275
BAKINAS;1716000;18764;0.0932
BAKINAS;1716000;18765;0.0932
BAKINAS;1716000;18780;0.0247
BAKINAS;1716000;18807;0.0204
